internship_id,title,company,skills,location,category,stipend,duration,education,description
26,Assessment Platform PM Intern,Johnson Controls,"Testing, Evaluation, Data Analytics, Report Writing",Bangalore,Automotive,21260,1 year,Undergraduate,Innovation Product Manager Intern: Assist in designing delightful user journeys for education and tech.
27,Java Developer Intern,L&T,"Java, Spring Boot, MySQL, REST API, OOP, DSA, Maven, Git",Delhi,Logistics,81788,4 months,PhD,Academic Research PM Intern: Build scalable products and solve complex technical challenges.
28,Vue.js Developer Intern,Razorpay,"Vue.js, JavaScript, Vuex, HTML5, SCSS, DSA",Vadodara,Education,83784,3 months,BA,AR/VR Developer Intern: Assist in designing delightful user journeys for education and tech.
29,Vue.js Developer Intern,L&T,"Vue.js, JavaScript, Vuex, HTML5, SCSS, DSA",Nagpur,Automotive,43408,1 year,BA,Full Stack Developer Intern: Collaborate with top-tier mentors and develop PM skillset.
30,iOS Developer Intern,Apple,"Swift, Objective-C, Xcode, UIKit, CoreData, DSA",Coimbatore,Logistics,13460,12 weeks,M.Tech,Marketing Product Manager Intern: Build scalable products and solve complex technical challenges.
31,Angular Developer Intern,Udemy,"Angular, TypeScript, RxJS, SCSS, API Integration, DSA, Git",Nagpur,Technology,66724,8 months,BA,Associate Product Manager Intern: Gain experience working with AI and cutting-edge tech teams.
32,Sustainability Product Manager Intern,Dell,"R, CSS, Shell Scripting, Communication, Sass, DSA, C++, Problem Solving",Mumbai,FinTech,33486,5 months,MCA,Customer Insights PM Intern: Participate in user research and help define next-gen features.
33,Travel Product Manager Intern,PwC,"Express, TypeScript, DSA, Deep Learning, Python, Jenkins",Nagpur,FinTech,43316,8 months,Any Graduate,Vue.js Developer Intern: Present findings to senior stakeholders and PM leadership.
34,Innovation Product Manager Intern,Tata,"DSA, Java, ASP.NET, MongoDB, Git, DSA",Ahmedabad,Internet,96695,3 months,Bachelor of Engineering,Associate Product Manager Intern: Gain experience working with AI and cutting-edge tech teams.
35,Project Coordinator (PM),Khan Academy,"Ruby, Time Management, Python, Mocha, DSA, Java, DevOps",Chennai,Consulting,53201,12 weeks,Undergraduate,Frontend Developer Intern: Assist in designing delightful user journeys for education and tech.
36,Associate Product Manager Intern,PhonePe,"WebSockets, Go, C++, C, DSA, PyTorch, Scrum, CI/CD",Nagpur,Hospitality,87782,8 months,Post Graduate,iOS Developer Intern: Participate in user research and help define next-gen features.
37,Travel Product Manager Intern,Uber,"Agile, R, DevOps, Java, DSA",Vadodara,Automotive,18356,1 year,BBA,Gaming Product Manager Intern: Work on live projects and impact thousands of users.
38,Product Management Intern,Meesho,"TypeScript, SQL, Kanban, C++, R, Deep Learning, DSA, Analytical Thinking",Gurugram,Technology,68945,5 months,MCA,Project Coordinator (PM): Assist in designing delightful user journeys for education and tech.
39,HR Product Manager Intern,Zomato,"Vue.js, JIRA, C, Integration Testing, Node.js, DSA",Mumbai,Internet,87048,4 months,Bachelor of Engineering,Growth Product Manager Intern: Drive initiatives and contribute to roadmap decisions.
40,API Product Manager Intern,Flipkart,"DSA, MySQL, Leadership, Numpy, Python, DevOps, Docker, PyTorch",Chennai,Data Science,46364,3 months,Bachelor of Science,Testing Intern: Work on live projects and impact thousands of users.
41,Virtual Classroom PM Intern,Siemens,"Video Platforms, Collaboration Tools, LMS",Hyderabad,Entertainment,37062,5 months,BCA,Customer Success PM Intern: Build scalable products and solve complex technical challenges.
42,Gaming Product Manager Intern,Meesho,"Data Structures, Vue.js, DSA, MySQL, C",Mumbai,Internet,72222,12 weeks,MBA,AI Research Intern: Work on live projects and impact thousands of users.
43,Customer Success PM Intern,Khan Academy,"Algorithms, C++, Kanban, React, DSA, C, R, Spring Boot",Vadodara,Entertainment,64784,8 months,Undergraduate,Embedded Systems Intern: Drive initiatives and contribute to roadmap decisions.
44,Payments Product Manager Intern,Jio,"JavaScript, DSA, Redis, Angular, Testing, GitHub",Bangalore,Internet,40690,2 months,Post Graduate,Consumer Product Manager Intern: Work on live projects and impact thousands of users.
45,Logistics PM Intern,Tech Mahindra,"DSA, JavaScript, GCP, PostgreSQL, Vue.js, WebSockets, Kubernetes",Jaipur,E-Commerce,90933,3 months,Any Postgraduate,AI Research Intern: Drive initiatives and contribute to roadmap decisions.
46,AR/VR Developer Intern,Zerodha,"Unity, Unreal Engine, C#, Oculus SDK",Vizag,B2B,79329,1 year,PGDM,Software Engineer Intern: Build scalable products and solve complex technical challenges.
47,Consulting Product Manager Intern,Amazon,"DSA, C, Communication, Express, PyTorch, Deep Learning, Angular",Pune,FinTech,75396,1 year,MBA,Mobile Product Manager Intern: Gain experience working with AI and cutting-edge tech teams.
48,Salesforce Developer Intern,Toppr,"Apex, Visualforce, Salesforce APIs",Noida,B2B,44600,2 months,Bachelor of Engineering,Full Stack Developer Intern: Gain experience working with AI and cutting-edge tech teams.
49,Developer Platform PM Intern,IBM,"Agile, Java, Teamwork, Django, DSA, Redis, ASP.NET",Bangalore,Hospitality,77947,2 months,M.Tech,Mobile Product Manager Intern: Collaborate with top-tier mentors and develop PM skillset.
50,Backend Developer Intern,Microsoft,"Java, Python, Node.js, Express, SQL, MongoDB, REST APIs, DSA, OOP, Git",Bhopal,FinTech,43361,6 months,PhD,"Compliance PM Intern: Learn business strategy, user empathy, and agile execution."
51,Data Product Manager Intern,Paytm,"PyTorch, Python, Git, DSA, Keras, Deep Learning",Pune,EdTech,86486,4 months,Diploma,B2B Product Manager Intern: Drive initiatives and contribute to roadmap decisions.
52,Angular Developer Intern,Flipkart,"Angular, TypeScript, RxJS, SCSS, API Integration, DSA, Git",Pune,EdTech,25919,1 year,Bachelor of Engineering,Developer Platform PM Intern: Drive initiatives and contribute to roadmap decisions.
53,Data Engineer Intern,Dell,"Python, SQL, ETL, Spark, AWS, Data Modeling, Git",Pune,EdTech,84176,3 months,M.Tech,"Strategy Product Manager Intern: Immerse in a collaborative, diverse and learning environment."
54,Education Product Manager Intern,Apple,"EdTech, Curriculum, Roadmap, Communication",Jaipur,E-Commerce,22514,1 year,B. Tech,iOS Developer Intern: Build scalable products and solve complex technical challenges.
55,Backend Developer Intern,Toppr,"Java, Python, Node.js, Express, SQL, MongoDB, REST APIs, DSA, OOP, Git",Vadodara,SaaS,79086,1 year,MBA,"Marketplace Product Intern: Run analytics, evaluate KPIs, and make data-driven decisions."
56,Associate Product Manager Intern,EY,"Ruby, Time Management, ASP.NET, Vue.js, Scikit-learn, C++, DSA",Vizag,Consumer Tech,73093,12 weeks,Bachelor of Engineering,Agile Product Manager Intern: Work on live projects and impact thousands of users.
57,Student Engagement Manager Intern,Salesforce,"Outreach, Student Success, Analytics, Communication",Pune,Technology,79009,6 months,B. Tech,Curriculum Developer Intern: Drive initiatives and contribute to roadmap decisions.
58,Marketing Product Manager Intern,Bharti Airtel,"Deep Learning, DSA, Java, Machine Learning, Object-Oriented Programming, Vue.js",Chennai,Logistics,68173,12 weeks,MCA,Platform Product Intern: Gain experience working with AI and cutting-edge tech teams.
59,Technical Product Manager Intern,Coursera,"DSA, MATLAB, C, Agile, Kubernetes",Hyderabad,Healthcare,50448,8 months,BA,Assessment Platform PM Intern: Collaborate with top-tier mentors and develop PM skillset.
60,Software Engineer Intern,Wipro,"Java, Python, C++, C, DSA, OOP, Git",Kolkata,Internet,41593,1 year,Undergraduate,Software Engineer Intern: Participate in user research and help define next-gen features.
61,DevOps Intern,HCL,"AWS, Docker, Kubernetes, CI/CD, Jenkins, Bash, Linux, Python",Vadodara,FinTech,29379,3 months,PhD,SaaS Product Manager Intern: Gain experience working with AI and cutting-edge tech teams.
62,Software Engineer Intern,Netflix,"Java, Python, C++, C, DSA, OOP, Git",Nagpur,Technology,45384,1 year,Bachelor of Science,"QA Engineer Intern: Run analytics, evaluate KPIs, and make data-driven decisions."
63,QA Engineer Intern,Khan Academy,"Manual Testing, Selenium, Regression, JIRA, Git",Coimbatore,Data Science,25535,8 months,Undergraduate,QA Engineer Intern: Collaborate with top-tier mentors and develop PM skillset.
64,Curriculum Developer Intern,TCS,"Syllabus Creation, Standardized Testing, Education policy",Ahmedabad,Technology,96662,5 months,BA,Web Product Manager Intern: Drive initiatives and contribute to roadmap decisions.
65,Solution PM Intern,KPMG,"DSA, C++, Teamwork, Communication, CI/CD",Nagpur,Education,49642,6 months,MCA,"Data Product Manager Intern: Run analytics, evaluate KPIs, and make data-driven decisions."
66,Java Developer Intern,Dream11,"Java, Spring Boot, MySQL, REST API, OOP, DSA, Maven, Git",Mumbai,B2B,19351,2 months,PhD,HR Product Manager Intern: Participate in user research and help define next-gen features.
67,AI Product Manager Intern,BYJU’S,"Python, DSA, Selenium, Scrum, Pandas",Lucknow,Internet,33751,1 year,Bachelor of Science,Node.js Developer Intern: Assist in designing delightful user journeys for education and tech.
68,Platform PM Intern,SAP,"DSA, Spring Boot, Java, Time Management, JIRA",Nagpur,Logistics,93393,12 weeks,BA,Testing Intern: Gain experience working with AI and cutting-edge tech teams.
69,API Product Manager Intern,Edureka,"Java, Shell Scripting, DSA, DSA, Mocha",Indore,Education,36187,2 months,B. Tech,"E-Commerce PM Intern: Run analytics, evaluate KPIs, and make data-driven decisions."
70,Software Engineer Intern,Deloitte,"Java, Python, C++, C, DSA, OOP, Git",Bangalore,Automotive,27665,8 months,BCA,Learning Data Analyst Intern: Participate in user research and help define next-gen features.
71,Mobile Product Manager Intern,Tata,"Spring Boot, DSA, PyTorch, Django, SQL, JavaScript",Lucknow,Data Science,29597,1 year,Any Postgraduate,Research Product Manager Intern: Work on live projects and impact thousands of users.
72,IoT Product Manager Intern,Google,"Bootstrap, Time Management, PostgreSQL, DSA, Git, C, HTML, JavaScript",Bangalore,Consulting,79222,8 months,Undergraduate,Travel Product Manager Intern: Drive initiatives and contribute to roadmap decisions.
73,QA Engineer Intern,Cognizant,"Manual Testing, Selenium, Regression, JIRA, Git",Bhopal,E-Commerce,25468,2 months,B. Tech,QA Engineer Intern: Drive initiatives and contribute to roadmap decisions.
74,Agile Product Manager Intern,Capgemini,"Microservices, Redis, Spring Boot, Jenkins, SQLite, DSA, ASP.NET, C++",Vadodara,Hospitality,91711,12 weeks,PGDM,"Associate Product Manager Intern: Learn business strategy, user empathy, and agile execution."
75,Customer Success PM Intern,Wipro,"MySQL, Version Control, Python, DSA, Angular, Keras",Jaipur,Technology,67448,1 year,PhD,Marketing Product Manager Intern: Assist in designing delightful user journeys for education and tech.
76,Product Management Intern,Siemens,"Kubernetes, Java, DSA, Version Control, Microservices, Linux, OpenCV, API Integration",Pune,Education,23992,5 months,PhD,Learning Data Analyst Intern: Build scalable products and solve complex technical challenges.
77,E-Commerce PM Intern,Uber,"API Integration, JavaScript, Git, DSA, Tailwind CSS, Numpy, Mocha",Chennai,Media,64633,1 year,PGDM,Virtual Classroom PM Intern: Collaborate with top-tier mentors and develop PM skillset.
78,EdTech Platform Intern,EY,"LMS, Moodle, EdTech APIs, Course Management",Lucknow,Technology,64777,4 months,BBA,Cloud Product Manager Intern: Work on live projects and impact thousands of users.
79,Embedded Systems Intern,EY,"C, C++, Microcontrollers, Arduino, Sensors",Gurugram,Media,32451,5 months,MBA,"Embedded Systems Intern: Run analytics, evaluate KPIs, and make data-driven decisions."
80,Angular Developer Intern,Deloitte,"Angular, TypeScript, RxJS, SCSS, API Integration, DSA, Git",Pune,Technology,79956,4 months,PhD,Education Product Manager Intern: Collaborate with top-tier mentors and develop PM skillset.
81,Learning Experience Designer Intern,Razorpay,"UX, Learning Psychology, Blended Learning, Analytics",Chandigarh,Entertainment,47486,2 months,B. Tech,Marketing Product Manager Intern: Drive initiatives and contribute to roadmap decisions.
82,Instructional Designer Intern,WhiteHat Jr,"Course Creation, Educational Design, Assessment, Communication",Delhi,SaaS,14396,8 months,Bachelor of Engineering,User Experience PM Intern: Collaborate with top-tier mentors and develop PM skillset.
83,Developer Platform PM Intern,Edureka,"DSA, Node.js, Numerical Methods, PyTorch, Version Control, C, Spring Boot, OOP",Noida,Technology,60916,4 months,Any Graduate,Agile Product Manager Intern: Work on live projects and impact thousands of users.
84,Customer Success PM Intern,Dream11,"Scrum, Teamwork, DSA, R, Integration Testing, React, Python",Hyderabad,B2B,70564,4 months,BA,E-Commerce PM Intern: Participate in user research and help define next-gen features.
85,Developer Platform PM Intern,TCS,"DSA, Python, Java, JavaScript, PyTorch, Redis, Linux",Bangalore,FinTech,83664,8 months,PGDM,Agile Product Manager Intern: Work on live projects and impact thousands of users.
86,EdTech Product Manager Intern,Razorpay,"DSA, C, Sass, Kubernetes, AWS",Noida,E-Commerce,77638,8 months,Bachelor of Science,EdTech Product Manager Intern: Assist in designing delightful user journeys for education and tech.
87,Operations Product Manager Intern,SAP,"PyTorch, AWS, DSA, Numerical Methods, DevOps, C++",Delhi,Entertainment,75811,4 months,BBA,Salesforce Developer Intern: Gain experience working with AI and cutting-edge tech teams.
88,Testing Intern,Accenture,"Unit Testing, Integration Testing, Jest, Mocha, Testing Library",Ahmedabad,Consumer Tech,97248,8 months,Undergraduate,Full Stack Developer Intern: Participate in user research and help define next-gen features.
89,Virtual Classroom PM Intern,Meta,"Video Platforms, Collaboration Tools, LMS",Hyderabad,Data Science,83829,1 year,Undergraduate,"Web Product Manager Intern: Learn business strategy, user empathy, and agile execution."
90,Operations Product Manager Intern,Coursera,"Node.js, Spring Boot, CI/CD, DSA, C",Vadodara,SaaS,94224,1 year,Any Postgraduate,Education Product Manager Intern: Present findings to senior stakeholders and PM leadership.
91,Data Product Manager Intern,Oracle,"HTML, DSA, C++, Angular, AWS, Go, Kanban, ASP.NET",Kolkata,Data Science,71430,4 months,MBA,Customer Insights PM Intern: Participate in user research and help define next-gen features.
92,Cybersecurity Intern,Johnson Controls,"Network Security, Python, Penetration Testing, Linux, Firewalls, OWASP, Git",Mumbai,Logistics,94359,6 months,BBA,IoT Product Manager Intern: Assist in designing delightful user journeys for education and tech.
93,Operations Product Manager Intern,Zomato,"Java, DSA, JavaScript, Object-Oriented Programming, Shell Scripting, PostgreSQL, OOP, Analytical Thinking",Pune,SaaS,42787,1 year,MCA,"SaaS Product Manager Intern: Learn business strategy, user empathy, and agile execution."
94,School Product Manager Intern,Spotify,"School Operations, Outreach, Technology, Communication",Kolkata,Data Science,96192,1 year,Undergraduate,Sustainability Product Manager Intern: Collaborate with top-tier mentors and develop PM skillset.
95,Cloud Engineer Intern,Oracle,"AWS, Azure, GCP, Kubernetes, Terraform, Python, Git",Mysore,Automotive,34233,4 months,Bachelor of Science,AI Research Intern: Build scalable products and solve complex technical challenges.
96,Platform Strategy Product Intern,Wipro,"DSA, Jest, Java, React, Shell Scripting, OOP, Ruby",Bhopal,Media,66648,5 months,PhD,Growth Product Manager Intern: Collaborate with top-tier mentors and develop PM skillset.
97,Cybersecurity Intern,Freshworks,"Network Security, Python, Penetration Testing, Linux, Firewalls, OWASP, Git",Vadodara,Consulting,49364,5 months,Undergraduate,Solution PM Intern: Assist in designing delightful user journeys for education and tech.
98,Education Product Manager Intern,Tata,"EdTech, Curriculum, Roadmap, Communication",Bangalore,Logistics,33748,2 months,PGDM,AI Research Intern: Collaborate with top-tier mentors and develop PM skillset.
99,QA Engineer Intern,BYJU’S,"Manual Testing, Selenium, Regression, JIRA, Git",Noida,E-Commerce,56446,12 weeks,BA,Learning Experience Designer Intern: Participate in user research and help define next-gen features.
100,School Product Manager Intern,Jio,"School Operations, Outreach, Technology, Communication",Ahmedabad,EdTech,40565,4 months,Bachelor of Science,Technical Product Manager Intern: Work on live projects and impact thousands of users.
101,Learning Experience Designer Intern,CRED,"UX, Learning Psychology, Blended Learning, Analytics",Bhopal,Consumer Tech,15979,3 months,M.Tech,"Gaming Product Manager Intern: Immerse in a collaborative, diverse and learning environment."
102,Angular Developer Intern,Spotify,"Angular, TypeScript, RxJS, SCSS, API Integration, DSA, Git",Mysore,EdTech,92397,2 months,BBA,"Operations Product Manager Intern: Learn business strategy, user empathy, and agile execution."
103,Project Coordinator (PM),Cognizant,"GCP, Django, TensorFlow, Leadership, C++, Git, DSA",Lucknow,Healthcare,24447,1 year,M.Tech,AI Product Manager Intern: Drive initiatives and contribute to roadmap decisions.
104,Customer Success PM Intern,Flipkart,"REST APIs, WebSockets, Testing, Kanban, DSA, Java, Git",Vadodara,Internet,20952,8 months,Diploma,Web Developer Intern: Build scalable products and solve complex technical challenges.
105,AI Research Intern,Edureka,"Python, Deep Learning, NLP, TensorFlow, PyTorch, Git",Chennai,Consulting,46319,5 months,PGDM,Logistics PM Intern: Build scalable products and solve complex technical challenges.
106,Customer Success PM Intern,Ola,"DSA, Data Structures, Agile, Numpy, C++, Python, OpenCV",Kolkata,B2B,14682,3 months,Diploma,Entertainment PM Intern: Assist in designing delightful user journeys for education and tech.
107,Learning Data Analyst Intern,HCL,"Python, SQL, Data Visualization, EdTech Metrics",Hyderabad,Hospitality,95327,6 months,Bachelor of Engineering,"Platform PM Intern: Immerse in a collaborative, diverse and learning environment."
108,Database Admin Intern,Nvidia,"MySQL, MongoDB, SQL, Backup, Replication, Git",Chennai,Healthcare,91739,8 months,PhD,Sustainability Product Manager Intern: Drive initiatives and contribute to roadmap decisions.
109,AI Research Intern,Capgemini,"Python, Deep Learning, NLP, TensorFlow, PyTorch, Git",Kolkata,Hospitality,46646,6 months,Any Graduate,Customer Success PM Intern: Drive initiatives and contribute to roadmap decisions.
110,QA Engineer Intern,Deloitte,"Manual Testing, Selenium, Regression, JIRA, Git",Vadodara,Consumer Tech,72454,8 months,MCA,Education Product Manager Intern: Collaborate with top-tier mentors and develop PM skillset.
111,Curriculum Developer Intern,EY,"Syllabus Creation, Standardized Testing, Education policy",Indore,Internet,58432,1 year,Any Postgraduate,Customer Success PM Intern: Present findings to senior stakeholders and PM leadership.
112,Platform Product Intern,L&T,"DSA, C, Jenkins, Ruby, Integration Testing",Indore,Internet,87653,12 weeks,PGDM,"User Experience PM Intern: Learn business strategy, user empathy, and agile execution."
113,Node.js Developer Intern,Johnson Controls,"Node.js, Express, JavaScript, REST APIs, MongoDB, DSA, Git",Coimbatore,Healthcare,19677,2 months,M.Tech,API Product Manager Intern: Drive initiatives and contribute to roadmap decisions.
114,Developer Platform PM Intern,PwC,"Git, Time Management, JavaScript, DSA, DSA, R",Coimbatore,E-Commerce,47654,5 months,PGDM,DevOps Intern: Work on live projects and impact thousands of users.
115,AI Product Manager Intern,Freshworks,"Jest, Scrum, GraphQL, MATLAB, Numpy, JavaScript, DSA, React",Jaipur,Entertainment,94770,5 months,Any Graduate,Consumer Product Manager Intern: Collaborate with top-tier mentors and develop PM skillset.
116,DevOps Intern,IBM,"AWS, Docker, Kubernetes, CI/CD, Jenkins, Bash, Linux, Python",Coimbatore,Education,71091,1 year,BA,"Payments Product Manager Intern: Immerse in a collaborative, diverse and learning environment."
117,ML Intern,Deloitte,"Python, Scikit-learn, TensorFlow, Pandas, Numpy, ML Algorithms, DSA, Git",Lucknow,Consumer Tech,28713,8 months,Bachelor of Engineering,"Consumer Product Manager Intern: Immerse in a collaborative, diverse and learning environment."
118,Data Engineer Intern,Chegg,"Python, SQL, ETL, Spark, AWS, Data Modeling, Git",Indore,SaaS,71095,8 months,PhD,"Game Developer Intern: Immerse in a collaborative, diverse and learning environment."
119,Operations Product Manager Intern,Netflix,"GraphQL, Jest, Shell Scripting, C++, AWS, DSA",Lucknow,EdTech,54756,2 months,Undergraduate,"Testing Intern: Run analytics, evaluate KPIs, and make data-driven decisions."
120,AI Product Manager Intern,Accenture,"Python, Kanban, OpenCV, Algorithms, Docker, DSA, C++, Git",Bhopal,Logistics,45067,12 weeks,BBA,Government PM Intern: Participate in user research and help define next-gen features.
121,Customer Insights PM Intern,IBM,"SQL, DevOps, OOP, JavaScript, Microservices, DSA",Gurugram,Consumer Tech,58836,2 months,PhD,Instructional Designer Intern: Collaborate with top-tier mentors and develop PM skillset.
122,Backend Developer Intern,Tech Mahindra,"Java, Python, Node.js, Express, SQL, MongoDB, REST APIs, DSA, OOP, Git",Jaipur,Internet,76291,5 months,BBA,"AI Research PM Intern: Immerse in a collaborative, diverse and learning environment."
123,Curriculum Developer Intern,WhiteHat Jr,"Syllabus Creation, Standardized Testing, Education policy",Jaipur,Logistics,14415,12 weeks,M.Tech,Agile Product Manager Intern: Present findings to senior stakeholders and PM leadership.
124,Logistics PM Intern,Meta,"Scrum, C++, Python, React, Bootstrap, DSA, Time Management",Gurugram,FinTech,71122,2 months,M.Tech,"Mobile App Developer Intern: Immerse in a collaborative, diverse and learning environment."
125,Embedded Systems Intern,Vedantu,"C, C++, Microcontrollers, Arduino, Sensors",Hyderabad,Consulting,55928,8 months,MCA,"Academic Research PM Intern: Run analytics, evaluate KPIs, and make data-driven decisions."
126,Software Engineer Intern,Tech Mahindra,"Java, Python, C++, C, DSA, OOP, Git",Mumbai,Hospitality,22632,5 months,BCA,UI/UX Designer Intern: Build scalable products and solve complex technical challenges.
127,Fintech PM Intern,WhiteHat Jr,"Analytical Thinking, Kanban, MATLAB, DSA, JavaScript, Problem Solving, CI/CD, Python",Bhopal,Automotive,51434,4 months,M.Tech,AR/VR Developer Intern: Participate in user research and help define next-gen features.
128,Marketplace Product Intern,Dream11,"JavaScript, TensorFlow, Data Structures, GCP, REST APIs, DSA",Hyderabad,Technology,55103,5 months,Bachelor of Engineering,Instructional Designer Intern: Collaborate with top-tier mentors and develop PM skillset.
129,Sustainability Product Manager Intern,Tech Mahindra,"API Integration, WebSockets, DSA, Data Structures, Java, NLP, Python, Linux",Indore,Hospitality,81923,1 year,B. Tech,Consumer Product Manager Intern: Drive initiatives and contribute to roadmap decisions.
130,Consumer Product Manager Intern,Zerodha,"DSA, Machine Learning, Microservices, DSA, Kubernetes, Java, OOP, React",Mumbai,EdTech,80006,3 months,Undergraduate,Technical Product Manager Intern: Present findings to senior stakeholders and PM leadership.
131,Mobile Product Manager Intern,Swiggy,"DSA, Shell Scripting, Selenium, Java, Analytical Thinking",Chennai,SaaS,12834,5 months,MCA,Developer Platform PM Intern: Drive initiatives and contribute to roadmap decisions.
132,Hardware Engineer Intern,Toppr,"PCB Design, Electronics, Circuit Analysis, C",Vadodara,Healthcare,33943,3 months,PGDM,Communication PM Intern: Work on live projects and impact thousands of users.
133,Java Developer Intern,EY,"Java, Spring Boot, MySQL, REST API, OOP, DSA, Maven, Git",Bangalore,Education,27924,8 months,Diploma,"Communication PM Intern: Immerse in a collaborative, diverse and learning environment."
134,Academic Research PM Intern,Tata,"Education Research, Data Analysis, Paper Writing",Gurugram,Technology,68602,4 months,Diploma,Compliance PM Intern: Build scalable products and solve complex technical challenges.
